English,Ancient,Modern,POS,Notes,Page
Order,ordonë,,,,41
Order,ordë,,,,72
Painter,pictorë,,,,41
Prayer,oratiorë,,,,41
Prophecy,oracë,,,,42
Prophecy,oracaë,,,,42
Ritual,ritrë,,,,42
Rope,funorë,,,,42
Rope,funë,,,,75
Sacrifice,sacrificirë,,,,42
Sculptor,sculptë,,,,43
Truth,veritë,,,,43
Truth,veritaë,,,,79
Glory,glorirë,,,,44
Honor,honorrë,,,,45
Strength,fortitudorë,,,,46
Wisdom,sapië,,,,46
Wisdom,sapientirë,,,,47
Wisdom,intelëa,,,,82
This,hicrë,,,,52
This,interplay of registers mirrors Libra’s cultural philosophy: a constant dialogue between the,,,,5
This,document serves as both scholarly record and practical handbook,,,,5
To,adrë,,,,52
Under,subrë,,,,53
Captain,navikë,,,,57
Chaos,chaë,,,,57
Chaos,abyssë,,,,57
Death,morëa,,,,58
Death,mortrë,,,,58
Demon,daemë,,,,59
Drum,tromëa,,,,59
Festival,festië,,,,61
Festival,festirë,,,,61
Giant,jotë,,,,64
Giant,risëa,,,,64
Hall,salë,,,,65
Harbor,porteë,,,,65
Harbor,porthë,,,,65
Net,netë,,,,70
Oath,eidrë,,,,71
Oath,heitë,,,,71
Relic,relikë,,,,75
Silence,silëa,,,,77
Tool,instrë,,,,79
Tower,turrë,,,,79
Underworld,helë,,,,80
Voice,voxaë,,,,81
Voice,voxë,,,,81
Voice,(divine)Lat. voxvoxaë,,,,30
Mythic,tense (–or,,,,5
The,Living Breath of Words,,,,6
The,tongue of Librán is not merely a tool of speech — it is the echo of balance,breathed first,,,6
The,following principles are the bones of Librán speech. They are the stones upon which tribes,,,,6
The,subject,the,,,6
The,tongue of Libra flows in Subject–Object–Verb (SOV) order,as if the speaker presents,,,7
The,Shaman’s Admonition,,,,7
The,Sacred Roots of Speech,,,,8
The,shamans teach that these shifts are not random,but rites of transformation. Just as stone,,,8
The,Laws of Transformation,,,,8
The,heavy Roman,,,,9
The,sly serpent’s,,,,9
The,rounded breath,,,,9
The,flock becomes,,,,9
The,Mystery of Collapse and Flow,,,,9
The,Shaman’s Lesson,,,,9
The,Sacred Breath,,,,10
The,Rhythm of Stress,,,,11
The,Shaman’s Admonition for Initiates,,,,12
The,Voice of First Encounters,,,,12
The,Shaman’s Closing,,,,13
The,Living Chain of Speech,,,,14
The,Eternal Register Where Modern Librán flows like rivers between tribes,Ancient Librán is stone and flame —,,,15
The,Tongue of Kinship,,,,17
The,Shaman’s Reflection,,,,18
Verbs,are the heartbeat of Librán,marked by endings that tell whether one speaks of legend,,,7
Used,for daily,,,,7
Prefixes,shape these verbs like charms laid upon fire,,,,7
Latin,–ae / –oe→ –ëAquilae → Aquilë,,,,9
Hungarian,ő→ öinő → nöi,,,,9
Phrases,of Greeting and Peace EnglishLibránContext,,,,12
Phrases,of Trade and Need,,,,12
Phrases,of Questions and Place EnglishLibránContext,,,,13
May,your journey be safeFára spera.Blessing upon travelers,,,,12
Quantra,ma?Trade,bargaining,,,13
Lesson,The question particle ma transforms a statement into inquiry. The reply joins blessing,,,,14
Lesson,The elder’s question invokes destiny (cálira). The apprentice’s reply speaks of the horse,,,,14
Lesson,Elders are never merely located. They are defined by their act: mëloqa — “to speak.” In,,,,15
Spera,veth dramor.Hope walks with love.Proverb,farewell,,,18
Part I,Technical Grammar,,,Quick Reference,37
Part II,The Shamanic Codex of Balance,,,,39
Part II,The Shamanic Codex of Script,,,,40
Proverbs,of Kin and Hearth,,,,44
Proverbs,of Balance,,,,45
Proverbs,of Mortals,,,,45
Iteration,1 •Softened harsh consonant clusters for Modern Librán (e.g,ragíra → ragira),,,46
Iteration,2,,,,46
Iteration,3,,,,46
